text,option_1,option_2,option_3,option_4
Is it ok for men to be 'househusbands'?,Yes,No,I'm Not Sure,
Do you think you are still evolving or are you pretty much the way you are always going to be?,Still evolving,The way I'll always be,,
Which is the greatest compliment you could receive?,That you are beautiful/sexy/hot,That you are intelligent,That you are talented,That you are extremely fun to be with
The person you are dating has a different faith or religion than you.  They ask you to go with them to a religious function.  Do you go?,Yes,No,It depends on what kind of function it is,It depends on what religion it is
"Would you do something outrageous, stupid or adventurous simply because it would make a good story to tell later? (Assume there would be no serious consequences to your actions.)","Yes, whenever possible.","Yes, but nothing too crazy.","Maybe, depends on what and who with.","No, and please don't run with scissors."
How much time do you spend doing volunteer work each week?,None,Less than 5 hours,5 to 10 hours,More than 10 hours
"If you're in a relationship you expect will last for the rest of your life, is it important to you that it be the most satisfying sexual relationship you have ever had?",Yes,No,,
Do you find freckles attractive?,Yes,No,I'm Not Sure,It depends where on the body they are
What do you think about downloading pirated music/videos off the internet?,No problem. I do it all the time.,"I do it, but feel bad.",It's wrong and I don't do it.,No opinion / Don't know
Have you ever gotten back with someone who cheated on you?,"Yes, people can change.","Yes, but I'll NEVER do it again!",No way.,Never been in that situation.
Would you date someone who kept a gun in the house?,Yes,No,,
Do you usually wash your hands before every meal?,Yes,No,,
"Generally speaking, do you believe that violent revolution is a legitimate method of effecting fundamental social, political, and economic change?",Yes,No,I'm not sure,I don't care about such matters
"Would you stay in a relationship if your significant other told you, 'I no longer feel that deep love I once felt for you, but I'm willing to stay together until I work through this'?",Yes,No,I'm Not Sure,
"In your life to date, what area do you feel you have made your most regrettable mistake?",Finances / Money,Love / Romance / Marriage,Religion / Philosophy / Ethics,Not Sure / Can't Pick
"Do you believe that women should be allowed to serve in the military in a front line capacity?  (i.e. infantry, etc.)",Yes,No,They shouldn't be in the military at all,
"Have you ever tried any sexual roleplaying, such as student/teacher or patient/nurse?",All the time. It really turns me on!,"Yes, on occasion. I have to be in the mood.","No, but it sounds interesting.","No, and it isn't going to happen. Ever."
"If you were dating somebody that you met online, would you be reluctant to tell your friends?","Yes, I would be reluctant.","No, not at all.","A little, but I would be honest with them.",
For which emotion is self-restraint the most crucial?,Anger,Fear,Lust,Jealousy
Your significant other's ex is coming into town and he/she wants to go out to dinner with them alone. How do you react?,"Sure, no problem.","Not thrilled, but go ahead.",No way.,
"Do you work at your job because you care, or because you want a check?",Care. The check is secondary.,Check. I don't care about my job.,"Both. Love the job, love paying the bills.",I don't work.
Are you comfortable with using the toilet while your partner is in the bathroom with you or being in the bathroom while he or she is using the toilet?,"Yes, I'm not shy about it at all!","Pretty much, as long as we're close.",No way! I like my privacy.,I'm not sure/I don't know.
Do you think the government should limit big chain stores to give small businesses a chance?,Yes,No,Maybe,Don't know/Don't care
I prefer to sleep:,Alone,"With my partner, but apart (not touching)",Touching my partner,Embracing / cuddling my partner
"When men show extra courtesy toward women (opening doors, pulling out chairs, etc.), this is:",Admirable and desirable. Chivalry's not dead.,Unnecessary but appreciated.,"Sexist and insulting, women are perfectly capable.",
How do you feel about zoos?,I think they're lots of fun!,"Sure, they're fine.","Those poor, locked-up animals!",Zoos are boring.
How do you feel about age differences in relationships?,I prefer someone close to my own age,I prefer someone older,I prefer someone younger,Doesn't matter to me
Movies are best enjoyed...,"...in the theater, with friends.","...on DVD, with extra scenes.","...on television, with commercials.",...not at all. I don't like movies.
Star Wars or Star Trek?,Star Wars,Star Trek,I can't decide.,Neither!
Do you put the shopping cart back at the grocery shop?,Yes,"No, I just leave it in the parking lot",I don't do this kind of grocery shopping,
"Would you date someone who is allergic to animal fur (e.g. cat, dog)?",Yes,No,I'm Not Sure,
"I don't lie, I just don't say all that I could!'  Is this the same as lying?","Yes, absolutely,","No, but it's close.","No, not at all.",I'm not sure.
How do you feel about genetically modified foods?,Fully approve,Hesitant / more controls needed,Opposed,No opinion/ don't know
"If you could erase any pain from your past and substitute those moments with happiness, would you?","Yes, I'd rather not have those memories.","No, the pain is part of who I am.",I'm Not Sure.,
Do you know CPR?,Yes,No,Only the basics/never finished the course.,
"When cooking food in the microwave, do you often impatiently hit the cancel button within the last few seconds rather than waiting?",Yes,No,I don't have/use a microwave,
Would you develop a new hobby/cultivate a new interest just to have something in common with your partner?,"Sure, it's good to do stuff together","No, we should maintain our own identities","Maybe, but only if it seemed cool",
Sleeping under the stars:,Yes!,No!,Maybe!,
In a conversation someone says a word you don't understand. What do you do?,Pretend to understand it.,Ask what it means.,Try to figure it out from context clues.,Remember it and look it up later.
Do you condone the wearing of fur for fashion?,"Yes, why not?","No, those poor animals!","Sort of, faux fur only!",No opinion or  don't know/care.
Underarms can be a hairy subject. How do you maintain your pits?,"I let it grow, wild & free!",Occasionally I'll trim.,I shave consistently.,Whatever I feel like at the time.
Are you an adventurous eater? Do you like to try new foods and ethnic cuisines?,"Yes, all the time.","Yes, if it's not too strange.",On rare occasions/I don't know.,"No, yuck."
Would you rather be indoors or outdoors at any given moment?,Definitely indoors,Definitely outdoors,Depends on my mood,Depends on the weather
Do you enjoy nostalgic/old-fashioned items or antiques?,Antique stores are great for poking around in!,I'm a serious collector / I own such a store.,I could take or leave that stuff.,"I'll take the DVD player for my watch, thanks."
Which do you prefer?,Shower,Bath,It depends / Don't make me choose!,
"Would you consider being part of a committed polyamorous relationship (i.e., three or more people but no sex outside the group)?","Yes, I like that type of polygamy.",I could be convinced by the right people,I am commited to total monogamy,I have open relationships only
A person you have no special feelings for sends you a loveletter confessing he/she has a crush on you. What would your reaction be?,Share it with your friends for a good laugh,Throw it away or ignore it,"Write back, telling him/her you're not interested","Date him/her, maybe he/she will get you interested"
"If/when you have NO pressing obligations (employment, schooling, children, errands, bedtime, or other factors aside), at what time do you prefer to get up in the morning?",Early bird gets the worm! I'm up before the sun!,Pretty Early (6:00ish - 9:30ish AM),I like to sleep in a bit. (9:30ish AM - Noonish),Morning? Curse that AM light! (afternoon or dark)
If you were in a coma with little chance of recovery what would you like your significant other to do?,"Pull the plug immediately, I don't want to linger","Pull the plug after 2-4 months, gives them time","Don't pull the plug at all, a chance is a chance.",I'm not sure . . .
What is your opinion of people who speak baby-talk to their pets?,Endearing. It shows their sensitive side.,Annoying as hell.,I wuv my kitty-widdy-pookie-doo!!!,I'm indifferent.
Would you sabotage contraceptives to have kids even though your mate doesn't want kids?,Yes,No,I'm Not Sure,
"Do people who say 'lol' frequently (like, once every other three lines or more) get on your nerves?",Yes!,No.,"It's a little annoying, but I try to get past it.",I don't know.
Would you be attracted to someone who agreed with everything you did or said?,Yes,No,,
"Somehow, you're blessed (cursed) with the following ability: by looking at any person you instantaneously know either his/her complete past, or complete future.  Which would you rather see?",Past,Future,,
Have you ever dated someone you didn't even like out of sheer loneliness?,Yes,No,,
"Do you attempt to conserve water, energy or other resources during your everyday life?","Yes, almost always",Sometimes,"No, I don't care","No, it's my right to waste as much as I want"
Would you consider a romantic relationship with a social phobic (someone with a fear/anxiety of social interractions and dislikes being out in public)..?,"Sure, if they are fun/interesting in private.","Yes, but ONLY if they get counseling/medication.",No! They couldn't be possibly be fun/interesting.,Depends / Don't know / Don't care.
Would you consider incorporating elements of computer or robotic technology into your body for purposes of augmentation?,Yes,No,I'm uncertain,I do not understand
"Would the fact that a partner insisted you were perfect (had no faults) and refused to acknowledge your shortcomings, bother you?",Yes,No,,
"If a man hits a woman for reasons other than self defense, it's generally considered abuse. If a woman hits a man for reasons other than self defense, it's:",Pointless - a woman couldn't really hurt a man,Harmless -  she's probably just joking around,Abuse - violence is violence,Not Sure/Other
Do you prefer to eat organic food?,"Yes, as much as possible","I would, but it's too expensive","Sometimes, if it's easy to get",No / Don't Care
Do you believe a couple should live together before considering marriage?,Yes,No,,
Can a person change who they are without betraying who they are?,"No, be true to yourself as you are.","Yes, it's good to evolve","I'm not sure, but I think about it a lot.","I don't know, and it's not important."
"How do you feel about government-subsidized food programs (free lunch, food stamps, etc.)?",No problem,"It's okay, if it is not abused",Okay for short amounts of time,Never - Get a job
Do you feel you were born in the correct era/time period?,"Yes, I love the current times!","No, I should've been born in the future.","No, I should've been born in the recent past.","No, I should've been born in the distant past."
Do you like to be friends with someone before you start a romantic relationship with him/her?,Yes,No,It depends,
Which makes you feel worse? Getting angry to the point of hitting something or someone? Or getting so sad as to the point of tears?,Getting Angry,Getting Sad,They Both Equally Suck,I Don't Know
Are you more of a secretive person or an open book?,Secretive,Open Book,I'm Not Sure,Somewhere In Between
Are you a different person in public and in private?,Yes,I'm *mostly* the same person,"I don't think so, but I was told this",I'm totally the same!
How do you feel about women openly displaying tattoos?,I Like It,I Don't Mind,I Dislike It,
"Which do you prefer in a significant other, generally speaking?",Dominance/Aggression,Submission/Shyness,"A little of both, depending on the situation",
In which climate zone would you prefer to live?,Tropical - I love the heat!,"Mediterranean - warm, but not too hot.",Temperate - everything in moderation.,Subarctic - love the cold and snow.
Would you say you have...,A green thumb,A black thumb,A modicum of success with vegetation,Absolutely no interest in plants
"Do you enjoy dark, violent, or disturbing music?",Yes,No,When I'm in the mood.,Unsure
Does it matter to you if your mate curses in front of children?,Yes.  It makes a bad impression on children.,No.  Kids hear the same things in school.,I'm Not Sure,
"Which would you prefer: casually dating someone whom you see a couple times a week, a serious relationship with someone you only see every few months (assume, if you want to, equally enjoyable sex)?","Casual dates, more frequent","Serious relationship, less frequent",,
Do you use 'Jesus Christ' or 'God damn it' when you curse?,Yes,"Yes, but I regret it.",No.,I do not curse at all.
Do you believe that people should take a 'parental fitness' test before being allowed to reproduce?,Yes,No,I'm Not Sure,Only Convicted Felons
How many books do you own?,Less than 5,5-25,25-50,50+
Who will be responsible for cooking the meals and cleaning the house? Assume you both work.,Me,My partner,We will split or take turns,Not my concern / Don't care / Other
You're early in a relationship and your significant other begins crying.  You have no idea what prompted it.  What do you do?,Gently prompt them to talk with me.,Remain quiet and open to discussion if requested.,Begin edging slowly toward the door.,Sigh exasperatedly.  Why me?
"If you had to choose, would you rather be confined to your fabulous mansion for the rest of your life, or wander the world aimlessly without ever finding a true home?",Never leave my home.,Travel the world.,I can't choose!,
Do you have a vanity license plate?,Yes,"No, absolutely not","No, but I want one",
A bird has built a nest on your house or garage.  Do you knock it down?,"Yes, I'm scared of birds","Yes, for some other reason or no reason at all","No, what's the big deal?","No, and I hang a feeder 20 feet away"
Would you be willing to date a musician?,Of course!,Possibly...depending on what they do.,I really don't know.,Not a chance!
"What do you find most appealing in a television series, movie, or book?","Compelling action, drama, or total immersion.",Having empathy for the characters.,Underlying message or commentary.,Creativity by the actors or film makers.
Is it okay for someone to try and influence their romantic partner's appearance or clothing?,Couples should try to look pleasing for each other,As long as it's not extreme and they ask nicely,They shouldn't try to change their partner.,Demands create weird power struggles.
How do you generally do on standardized tests?  And how do you feel about them?,"I do pretty well, but they're pointless.","I don't do that well, and they're pointless.","I do pretty well, and they serve some purpose.","I don't do that well, but they serve some purpose"
"Which is more respectable, a sense of responsibility towards others, or a willful sense of individualism?",Responsibility,Individualism,,
Can you name five living poets and the title of one book by each?,Yes,No,"Poets, but not titles",I can't even name five dead poets
You're at the grocery store and you've got a lot of items. There is only one cashier and a couple of people in line behind you. Do you bag your own stuff?,Always,Sometimes. When I'm in a hurry.,Rarely,Never. That's their job!
Is it possible to agree to disagree on religious practices in a relationship?,Yes,No,I'm Not Sure,
Would you consider being in a relationship with someone who has had homosexual sex?,Yes,No,I'm Not Sure / Depends how serious it was,
How much of your true self do you reveal to other people?,I'm an open book.,I'm about average.,I'm closed off to most people.,
Do you mind getting really dirty working or playing outside?,No - I'm never clean!,No - I clean up well.,Yes - I hate dirt!,
How much communication is ideal during sex?,A lot! It's all about the talk.,Just enough to get things right.,None. Shut up so I can concentrate.,
Who are you more worried about disappointing?,God,My family or friends,Myself,I don't worry about such things
Would you try to create a child if you understood there to be a 1-in-4 chance it would be born with a major defect?,Yes.,No.,I'm not sure.,
When would you prefer to spend time with a significant other?,Day.,Night.,It makes no difference.,
How open are you to trying new things in bed?,Very open. I'll try anything once.,"I'm open, but I don't get too crazy.","Hesitant, but it might happen.",Not at all.
"Upon first meeting, would you be most attracted to a person who:",Exudes overt sexuality,Is witty and charming,Is mysterious and elusive,Is the smartest duck in the room
"How often in conversation are you likely to use an exact quote from a movie, play, or TV show?",Once a day or more.,Every few days or so.,Once a week or less.,I never do this or I no longer do this.
How would you feel about learning Tantric sexual practices?,Sign me up for the next class.,Get a book or video and learn more.,I have no interest.,I am already experienced in Tantric sex.
What's the gender distribution of the vocalists in your music collection?,Mostly female singers.,Nearly the same male and female.,Mostly male singers.,I have little or no music collection with vocals.
"If you had to choose one and ONLY ONE of the following for the remainder of your life, which would you choose with respect to sports?","Watching on TV at home, a bar or a friend's house.","Watching live at courts, stadiums, rinks, etc.",Participating in my one favorite sport.,Avoiding sports altogether.
You just prepared some food in your kitchen and made a mess.  Do you:,Clean up immediately.,Clean up immediately after eating.,Postpone the cleanup for later.,Not cleanup at all.
"How would you feel if a significant other forgot your birthday, nameday, anniversary, or something else similarly important to you?",Indifferent.,Disappointed.,Annoyed.,Angry.
Let's say you have recently met a new potential significant other.  How do you feel about the 'Don't call more than every other day' rule?,I would always follow it.,I would follow it some of the time.,I would never follow it.,
"Would you ever be willing to skip out on responsibilities (such as work, school, or such) to stay at home and have sex with someone?",Yes.  Sex always comes first.,Yes.  Occasionally.,No.  Never.,
What are your feelings when a friend shares news of something wonderful that has happened to them?,Only happiness for them.,"Happy for them, but somewhat envious.",I'd be happier if they had not told me.,
"When in a relationship, what importance do you place upon celebrating weekly or monthly anniversaries?",High.,Moderate.,Low.,None.
"Assume you have a job where surfing the Internet is against the rules, would you surf the net anyway if there exists only a small chance of being caught?","Yes, even if I have work to do.","Yes, but only after all my work is done.","No, it would not be worth the risk.","No, it would wrong - I'm not being paid for this."
"Does netspeak (e.g., afk, brb, How RU?, lol, rotfl, ttyl, etc.) bother you?",Yes.,No.,Some of the time - It depends.,I don't know.
"Upon ending relationships and becoming single, have you made special efforts to get into shape and/or improve your physical appearance.",Yes.  Always.,"After some, but not all, of my relationships.",No.  Never.,I've never ended a relationship.
"If you absolutely despised your significant other's parents, would you tell your significant other?",Yes.,No.,I'm Not Sure.,
Who most often does your laundry?,I do it myself.,"A friend, relative, or spouse does it.",A laundry service does it.,My clothes are never washed.
Which of these four planets in our solarsystem would be closest to your own characteristics?,"Mars, cold, aggressive and/or inhospitable","Pluto, distant, mysterious and/or hard-to-get","Venus, warm, embracing and/or passive","Jupiter, impressive, bright and/or active"
"If married, when would you expect your partner to wear a wedding ring?",Most or all of the time.,Some of the time.  It's situation dependent.,Seldom or not at all.,Only when they want to.
"Compared to those who are entirely straight or entirely gay, do you think bisexuals are more or less likely to be unfaithful?",Bisexuals are more likely to be unfaithful.,Bisexuals are less likely to be unfaitful.,It makes no difference.,I don't know.
Do you read in the bathroom?,"Yes, usually.","No, never.",Sometimes.,
"Does hanging out in an empty field, in the middle of no where, at 2am to watch a meteor shower sound like fun to you?",Heck yeah! I'll bring the hot cocoa/coffee/tea.,I've never done it but it sounds like fun.,I could take it or leave it.,Sounds like a complete waste of time.
"Upon leaving a store, you realize you were not charged for an expensive item.  Which would you do?",Go back and offer to pay.,"Nothing, it was their mistake.",Attempt to return the item for a full cash refund.,
How often are you open with your feelings?,Always,Usually,Rarely,Never
"Would you participate in office pools (i.e., gambling on sports, reality TV, etc.)?","Yes, I'd gamble on almost anything.","Yes, but only if really interested in the subject.","No, it is illegal or against the rules.","No, I have no interest in gambling."
"If your partner liked to sing in public, but was often completely off-tune, how would you react?",I'd find it cute and offer encouragement.,I'd be unaffected.,I'd find a way to tolerate it.,I'd demand that my partner stop singing in public.
Would you allow a pet to sleep on your bed?,Yes.,No.,Maybe.,
Would you date someone who has no intention of contacting either one or both parents ever again?  (Assume that the parents in question are living.),Yes.,Only if there were good reasons for no contact.,No.,
"When you are sleeping, do you prefer:",A cold room,A cool room,A warm room,A hot room
Could you have a long-term relationship with someone who expressed that they felt unworthy of having you?,Yes,No,,
Does showering or bathing with your significant other appeal to you?,Yes,No,Only bathing,Only showering
"In general terms, where should breast-feeding be allowed?",Anywhere.,Only where others are allowed to eat.,Only in discrete / designated areas.,Only in private.
Which best describes your method for paying off financial debt?,I pay off debt as soon as possible.,I pay off debt when it is best for me.,I avoid paying if at all possible.,I never borrow money.
How would you feel if your significant other made more money than you?,Very comfortable,Somewhat comfortable,Somewhat uncomfortable,Very uncomfortable
How much do you like to be tickled during sex?,Tickle me until I cry. It really turns me on.,I like being tickled during sex.,I do not like being tickled during sex.,"I don't like to be tickled, ever."
"Do you talk to your pets?  (Conversationally, not giving orders.)",Yes.,No.,I don't have any pets.,
"Do you have any totally irrational fears, as in something that is extremely unlikely to happen or imaginary?",Yes,No,,
Have you ever lied to a partner about your sexual history?,Yes,No,I've never discussed my sexual history in this way,
"When you see a heterosexual couple, what do you think if the female is taller?",They look wrong together.,I actually like it that way.,"Interesting, but it really doesn't matter.",Who cares?
How would you feel if one of your parents dated someone close to your age?  Assume for the purpose of this question that their dating would otherwise be acceptable.,I would not care as long as they were happy.,"It might be weird, but I'd eventually accept it.","It would be wrong, but I would not get involved.",This would be wrong and I would speak my mind.
Are you ready to settle down and get married right now?,Absolutely.,No way.,"Get married yes, settle down no.","Get married no, settle down yes."
A friend has become homeless. Would you let them stay with you until they are back on their feet?,Yes,No,I'm Not Sure,
"Imagine that, through some misfortune, your significant other loses the ability to have sex again.  Do you stay with them?",Yes.,No.,Only if we're free to have sex with someone else.,
Let's say you work for the government. You discover confidential documents proving that the organization you work for is misusing public funds. Which would you do?,Go to the media.,Go to the appropriate law enforcement agency.,Leverage the information to further my career.,Ignore it.
Would you be willing to shave your head to raise money for charity?,Yes.,No.,,
"Would you consider going 'off grid' to live with someone who only had solar power, a wood stove, an outhouse, etc?",Yes.,No.,,
Would you consider dating someone who is part of a commune?,Yes.,No.,What is a commune?,
"If your doctor discovered that you have a noncommunicable terminal illness that will kill you in about five years, when would you want to be told?",Immediately.,"Later, when I have a year or more left.","Later, when I have less than one year left.",Never.
"Would you like to live in a small community where everyone lives and works together, and where all property and possessions are owned collectively?",Yes.,No.,"Perhaps, depending upon the specifics.",I already do!
"Assume that you and your partner have different religious beliefs. If you have a child together, which religion would you force the child follow?",My religion.,My partner's religion.,"Both religions, no matter how contradictory.",We would educate our child to make its own choice.
"If an otherwise perfect match gave you an ultimatum to become a vegetarian, what would you do?",Comply - Become a vegetarian.,Rebel - This would be a deal breaker.,Smile - I'm already a vegetarian.,
Do you usually add salt to your meals?,Yes,No,,
Would you consider dating someone who has extensive facial tattoos?,Yes.,No.,,
Motorcycles are...,Good transportation / fun.,Good for others but not for me.,Bad and should be outlawed.,Not interesting.
How often do you (or would you) call in sick to work or school when you are not actually ill?,Never.,"Once, twice, or three times per year.",Four to ten times per year.,More than ten times per year.
"You have plans to hang out with some friends, but a person you have recently begun dating calls and asks you to do something for the night.  Assuming you are still interested in this person, what do you say?",Yes.  I'll see my friends another time.,"No, I'm busy.  How about another time?","Sure, but let's hang out with my friends.","I'll do both somehow, but keep them separated."
How does owning pets compare to raising children?,Pets and kids are one in the same.,Different species but universal techniques.,They're similar.  Pets can prepare you for kids.,The two are nothing alike.
Do you stop to enjoy simple things in nature?,Often.,Sometimes.,Rarely.,Never.
"When riding a bicycle, do you wear a helmet?","Yes, all the time","Yes, some of the time",Rarely or never,I don't ride bicycles
Do you prefer to sleep with the lights on or off?,I like it completely dark.,I like a little light.,I like it to be bright.,
How often do you find yourself holding back your knowledge of a subject because of how it might affect your image?,Very often.,Sometimes.,Rarely.,Never.
"You're in bed, spooning behind your partner.  Where would your hand(s) most likely be?",Partner's stomach.,Partner's genitalia.,Partner's chest / breast / heart.,I don't spoon - I only fork.
Is there any genre of music that you completely refuse to listen to?,Yes.,No.,I don't listen to music.,
Is supporting 'the troops' the same thing as supporting a war (or conflict)?,Yes.,No.,I'm not sure.,
What is your favorite transportation medium?,"Land (trains, buses, cars, bikes, feet, etc.)","Sea (ships, boats, submarines, etc.)","Air (airplanes, rockets, dirigibles, etc.)",Other.
"Of these four educational subject areas, which is your favorite?",Language,Mathematics,Science,History
Would you consider dating or forming an otherwise sexual or romantic relationship with someone who hates your sex/gender?,Yes.,No.,,
Do you go to the tanner?,Yes,No,For special occaisons,I get my tan naturally
Do you approve of public nudity?,Yes.,No.,,
"Would you rather hang out with someone you don't particularly like, or be alone?",Any company is better than none.,I'd rather be alone.,,
Which is your preferred method of learning?,Traditional classroom,Computer-based instruction,Self study / reading,Other
Let's say you are in line at a grocery store and have many items.  The person behind you just has only one or two.  Do you offer to let them go ahead of you?,Yes.  Always.,"Yes, unless I am otherwise in a hurry.",No.  Never.,
"If you had to choose one, which type of cheating bothers you the most?",Cheating on a partner.,Cheating on a test.,Cheating on taxes.,Cheating does not bother me.
Stereo on during sex?,Always.,It depends on the music.,It depends on the sex.,Never.
Men who wax their chests are...,SEXY!,A little vain in my book.,Kinda creepy.,I don't care.
Would you be willing to dress up as a member of the opposite sex if it would turn your partner on?,"If it excites them, I'd even do it in public.","Yes, but only in private.",No.,I do it already!
"Could you date someone who was very funny, but could never take anything seriously?",Yes,No,,
Would you read a book recommended to you by a significant other?,Yes.,No.,"Maybe, depending on the book.",
Which is your preferred communications medium for long-distance relationships?,Voice / video,Chat / email,Other,I don't do long-distance relationships
"Let's say you ask your partner a question and know with certaintly that their answer is a lie, what do you do about it?",Ignore it.,Discreetly probe for more information.,Call them out and see where it goes.,"Terminate the relationship, effective immediately."
Is there any aspect of your sexuality that you would be too embarrassed to ever share with a match?,Yes,No,,
"Before people find out your real age, what do they usually assume?",That I'm younger than I really am.,That I'm older than I really am.,They are usually very close.,I haven't noticed a pattern.
"Suppose one day, your spouse comes home and announces that the two of you will be forever taken care of financially, but only so long as the details remain secret to you, else you will both face financial ruin. How much would this bother you?","A lot, I could not live like that.","A little, but my money and I would get over it.",Not at all.  Show me the money.,
Would you consider dating a person who rescues stray animals from the streets and brings them home?,Yes.,No.,,
"If a close friend asks you to come out to a club or bar that does not fit with your own sexual preferences, would you go along?",Yes.,No.,,
"After a serious relationship, how long should you wait before casually dating?",A few weeks.,A few months.,At least a year.,Why wait?
"If you were abducted by aliens and were allowed to bring only one form of entertainment, which would it be?",Literature,TV/Movies/Music,Video games,A hydrogen bomb
Which of the following 'solutions' do you think would provide the biggest reduction in crime rates?,More and better trained police,More and better armed civilians,More and better implemented social programs,More severe punishment for convicted criminals
How often do you interrupt people?,Never.,Rarely.,Often.,Always.
"With respect to climate, I would prefer to live somewhere where:",It is hot and summer-like throughout the year.,There are four distinct seasons.,It is consitently and comfortably average.,"There is a long, cold, and snowy winter."
"Imagine that scientists create a new drug.  When swallowed as a pill, it will completely and permanently eliminate feelings of guilt for prior events.  Testing reveals that there are no harmful medical side effects.  How should this pill be distributed?",Over the counter to anyone who wants it.,By doctor's prescription only.,It should not be distributed at all.,
"Would you consider inviting a previous sex partner to your own wedding, if you are only friends now?",Yes.,No.,,
How familiar are you with the methods OkCupid uses to match people?,Very familiar.,Somewhat familiar.,Not familiar.,
Would you be willing to date someone who your pet clearly dislikes?,Yes.,No.,I do not have a pet.,
Is 'just be yourself' good advice?,Absolutely.,It's vacuous. Who else can I be?,Not quite. I mind how I come off.,No. I misrepresent myself as needed.
"Do you believe that, when a soldier kills an enemy soldier in combat during a war, it is murder?",Yes.,No.,,
Does forbidden fruit taste better?,Yes.,No.,I'm Not Sure.,
Are you in favor of age restrictions on drinking alcohol?,"Yes, on purchase only.","Yes, on purchase and consumption.",No.,
Have you ever participated in a high school or college marching band?,Yes.,No.,Both.,
Have instant ramen noodles ever been your nutritional mainstay for more than 2 weeks?,Yes.,No.,,
"Would you be willing to date someone who plays video games almost every day, for at least 2 hours?","Yes, I'd be playing with them.","Yes, but I would not play that much.","Yes, but I don't like video games.",No.
"Not including Halloween, do you enjoy dressing up in costumes?",Yes - Every chance I get.,Yes - On occasion.,"I think that I might, but I do not.",No.
The idea of gay and lesbian couples having children is:,Acceptable.,Not acceptable.,,
Do you enjoy visiting amusement parks?,Yes.,No.,I'm not sure.,
How do you consider yourself to be in terms of logic and emotion?,Mostly logical,Mostly emotional,Equally logical and emotional,Neither logical nor emotional
"Even if it isn't your personal style, would you dress accordingly to a partner's wishes, just to make them happy during an outing?","Yes, without question.","Yes, within reason.",No.,
"If you are dating someone consistently, but you have not yet decided as a couple to have an exclusive relationship, would you change your OkCupid status to 'Seeing Someone'?",Yes.,No.,I'm not sure.,
"If a very skinny stray cat were to come to your doorstep, would you feed it, believing that if you did, it would probably keep coming back?",Yes - I would consider adopting it.,"Yes, but I could make no further commitment to it.",No - Someone else should feed it.,No - I would try to scare it away.
How often do you read your horoscope?,Daily.,Weekly.,Occasionally.,Never.
How often do you hang out at coffee shops / cafes?,Two or more times a week.,From once a month to once a week.,Less than once a month.,Never.
"If you had to choose one for the rest of your life, which would you pick?",Monogamy,An open relationship,Polyamory,Playing the field
Have you ever written a book?,Yes.,No.,,
Are you more polite to strangers or friends?,Strangers.,Friends.,I'm equally polite to both.,I'm generally rude to both.
Do you read the dedications and introductions when you're reading a book?,"Yes, always or almost always","Occasionally, if I'm interested","No, I just get right to it",I don't read / don't read books with introductions
Would you continue to date someone who you felt would always put their pet(s) before you?,Yes.,No.,,
Would you be afraid if you were walking alone on a city sidewalk after dark?,Yes.  I'd be scared for sure.,"Yes, if the location is considered dangerous.",No.  No city street scares me.,"No, but people should fear me."
"Imagine you are having sex with a partner, who begins to give you specific instructions on how to best provide satisfaction.  Assuming there is no danger, would you follow these instructions?",No.  That would be the end of that encounter.,No.  I'd continue doing it my way.,"Yes, but I would be offended.",Yes.  I'd be greatful for the communication.
"When playing games with friends, which is more important to you?",Winning.,Having fun.,"Neither, I do not play games with my friends.",I don't have any friends.
Do you consider a person's social class when you interact with them?,Yes.,No.,I'm not sure.,
Have you typically researched the policies of companies before you bought products from them?,Yes.,No.,,
Imagine that you are in an uncommitted relationship with someone you have grown to deeply care about.  They begin to date someone else who seems to make them happier than you do.  Which would you do?,Bow out.,Try harder to win their love.,Continue as before.,
"Have you ever created a piece of art for a friend, just because you were thinking of them?",Yes.,No.,,
Have you ever started your own business?,Yes.,No.,,
"Would you want a lover who is always open and direct about everything, if it means that you would also receive any crude negative feedback they may have for you?",Yes.,No.,,
How often do you gamble?,Often.,Rarely.,Never.,
Would it bother you if a date made gender-biased remarks?,Yes.,No.,Only if they were inaccurate.,
How far would you be willing to travel to meet a person of interest who also has a high match percentage for you here on OkCupid?,Up to 20 miles (32km),21 to 100 miles (33 to 161km),101 to 500 miles (162 to 805km),More than 500 miles (805km)
Would you object to someone bringing a young child along on a first date?,Yes.,No.,,
Do you enjoy watching educational programming on television?,"Yes, often.","Yes, on occasion.","No, never.",
Is it ever okay to publicly argue with a significant other?,Yes.,No.,,
"Do you get annoyed if someone uses a word or phrase incorrectly, even if you still understand the speaker's meaning?","Yes, and I'd correct them","Yes, but I wouldn't correct them","No, and I wouldn't correct them","No, but I'd still correct them"
"Regardless of where you grew up or now live, which of the following best describes the way you see yourself at heart?",I am an urban or city person.,I am a suburbanite.,I am small town or country person.,
The best days of my life' are:,In my future.,In my past.,Right now.,
"After a date, have you ever told someone that you are going to call them, but not done it?",Yes.,No.,,
"Do you 'evaluate' the people you see out in public for suitability as potential partners, based on their attractiveness?",Yes.  I am very perceptive in this way.,No.  Never.,I only 'look' when I am available.,
Do you like to go clubbing?,"Yes, I prefer to go alone.","Yes, I prefer to go with a date.","Yes, I prefer to go with friends.",No.  I do not like to go clubbing.
Would you really like to stay home and spend an entire day (24 hours) in bed (getting up only for the necessities) with your ideal significant other?,Yes.,No.,,
How well do you sleep when you're in unfamiliar surroundings?,Better than usual.,The same as usual.,Worse than usual.,
